Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Combining fuzzy MCDM with Kano model and FMEA: a novel 3-phase MCDM method for reliable assessment","Annals of Operations Research","","342","1","10.1007/s10479-024-05878-w","Jia ShaoShuya ZhongMi TianYuanyuan Liu","2024","http://link.springer.com/article/10.1007/s10479-024-05878-w","Article"
"Artificial intelligence predictability of moisture, fats and fatty acids composition of fish using low frequency Nuclear Magnetic Resonance (LF-NMR) relaxation","Journal of Food Science and Technology","","61","11","10.1007/s13197-024-05977-3","Nasser Al-HabsiRuqaya Al-JulandaniAfrah Al-HadhramiHouda Al-RuqaishiJamal Al-SabahiZaher Al-AttabiMohammad Shafiur Rahman","2024","http://link.springer.com/article/10.1007/s13197-024-05977-3","Article"
"Failure mode and effects analysis of suction hose manufacturing industry: a case study of automobiles","International Journal on Interactive Design and Manufacturing (IJIDeM)","","18","9","10.1007/s12008-024-01849-4","Ahsan RazzaqTauseef AizedMuhammad Faizan AmeerSami Ullah KhanM. Ijaz KhanBarno Sayfutdinovna Abdullaeva","2024","http://link.springer.com/article/10.1007/s12008-024-01849-4","Article"
"Digital operations research models for intelligent machines (industry 4.0) and man-machine (industry 5.0) systems","Annals of Operations Research","","342","2","10.1007/s10479-024-06366-x","Madjid TavanaTobias SchoenherrYang ChengAjay KumarEric W. T. Ngai","2024","http://link.springer.com/article/10.1007/s10479-024-06366-x","Article"
"Some remarks on the history of Ricci’s absolute differential calculus","Archive for History of Exact Sciences","","78","6","10.1007/s00407-024-00336-2","Alberto Cogliati","2024","http://link.springer.com/article/10.1007/s00407-024-00336-2","Article"
"Evaluating functional ability in older adults’ object retrieval behavior from kitchen furniture using OpenPose and REBA","Scientific Reports","","14","1","10.1038/s41598-024-75470-6","Chengmin ZhouRuolan YuJake Kaner","2024","http://link.springer.com/article/10.1038/s41598-024-75470-6","Article"
"Electric vehicle selection for industrial users using an interval-valued intuitionistic fuzzy COPRAS-based model","Environment, Development and Sustainability","","","","10.1007/s10668-024-05562-w","Ömer Faruk GörçünVladimir SimicPradip KunduAşır ÖzbekHande Küçükönder","2024","http://link.springer.com/article/10.1007/s10668-024-05562-w","Article"
"A Decision Support Framework for Resilient and Sustainable Service Design","Global Journal of Flexible Systems Management","","","","10.1007/s40171-024-00419-7","Md. Maruf Hossan ChowdhurySeyed Zeinab AliahmadiMohammed A. QuaddusAmir H. AnsaripoorSeyedali Mirjalili","2024","http://link.springer.com/article/10.1007/s40171-024-00419-7","Article"
"Developing a Two-Stage Decision-Making Method for Selecting and Clustering Suppliers Based on the Resilience Criteria","Group Decision and Negotiation","","","","10.1007/s10726-024-09903-y","G. Reza NasiriElnaz MiandoabchiMohaddeseh Javadi","2024","http://link.springer.com/article/10.1007/s10726-024-09903-y","Article"
"Stakeholder requirement-oriented prioritization method of quality characteristics based on probabilistic linguistic term set","Flexible Services and Manufacturing Journal","","","","10.1007/s10696-024-09573-7","Wei ZhangJun XieQi ZhuYanbin DuWanbing LiuJian Li","2024","http://link.springer.com/article/10.1007/s10696-024-09573-7","Article"
"A new approach for optimal design of intensive care unit","Journal of Engineering and Applied Science","","71","1","10.1186/s44147-024-00534-3","Manal Abdel WahedNeven Saleh","2024","http://link.springer.com/article/10.1186/s44147-024-00534-3","Article"
"Quality function deployment approach to urban ecological public art design centred on resident needs","Scientific Reports","","14","1","10.1038/s41598-024-73156-7","Renjing HuXuanyu TaoJiaxuan GongFeng Wang","2024","http://link.springer.com/article/10.1038/s41598-024-73156-7","Article"
"A new method to prioritize the QFDs’ engineering characteristics inspired by the Law of  Comparative Judgment","Research in Engineering Design","","35","4","10.1007/s00163-024-00436-8","Domenico A. MaisanoGiovanna CarreraLuca MastrogiacomoFiorenzo Franceschini","2024","http://link.springer.com/article/10.1007/s00163-024-00436-8","Article"
"Failure Analysis of Automotive Drive System: A Six Sigma DMADV Approach","Journal of Failure Analysis and Prevention","","24","5","10.1007/s11668-024-02003-8","Shivagond TeliVinod SurangeLokpriya Gaikwad","2024","http://link.springer.com/article/10.1007/s11668-024-02003-8","Article"
"Hybrid DEA-BWM-KEMIRA approach for multiple attribute decision-making: a weighted analysis perspective","Soft Computing","","28","20","10.1007/s00500-024-09933-3","Mehdi SoltanifarFrancisco J. Santos-Arteaga","2024","http://link.springer.com/article/10.1007/s00500-024-09933-3","Article"
"Performance evaluation of supply chain resilience in epidemic crises: an extension of network non-parametric methodology","OR Spectrum","","","","10.1007/s00291-024-00790-y","Majid AzadiReza Farzipoor SaenAli Ebrahimnejad","2024","http://link.springer.com/article/10.1007/s00291-024-00790-y","Article"
"Application of artificial intelligence in the new generation of underwater humanoid welding robots: a review","Artificial Intelligence Review","","57","11","10.1007/s10462-024-10940-x","Peng ChiZhenmin WangHaipeng LiaoTing LiXiangmiao WuQin Zhang","2024","http://link.springer.com/article/10.1007/s10462-024-10940-x","Article"
"Assessing Southeast Asia countries’ potential in the semiconductor supply chain: an objectively weighting multi-criteria decision-making approach","Humanities and Social Sciences Communications","","11","1","10.1057/s41599-024-03768-x","Chia-Nan WangNhat-Luong NhieuChen-Te ChiangYen-Hui Wang","2024","http://link.springer.com/article/10.1057/s41599-024-03768-x","Article"
"Developing Industry 4.0-based e-waste management: a decision-aided tool equipped with continuous function-valued intuitionistic fuzzy sets","International Journal of Environmental Science and Technology","","","","10.1007/s13762-024-05977-y","B. AydoğanG. ÖzçelikM. Ünver","2024","http://link.springer.com/article/10.1007/s13762-024-05977-y","Article"
"Sustainability analysis of FarmFox IoT device towards Agriculture 5.0","Environment, Development and Sustainability","","","","10.1007/s10668-024-05356-0","Ankita DasBiswajit DebnathAnirbit SenguptaAbhijit DasDebashis De","2024","http://link.springer.com/article/10.1007/s10668-024-05356-0","Article"
"A Decision Support Model for Barriers and Optimal Strategy Design in Sustainable Humanitarian Supply Chain Management","Global Journal of Flexible Systems Management","","25","3","10.1007/s40171-024-00394-z","Md Maruf Hossan ChowdhurySanjoy Kumar PaulEijaz Ahmed KhanA. K. M. Shakil Mahmud","2024","http://link.springer.com/article/10.1007/s40171-024-00394-z","Article"
"A sustainable decision-making framework and a mixed-integer formulation for the project portfolio selection problem","The Journal of Supercomputing","","80","14","10.1007/s11227-024-06241-3","Amir Hossein HosseinianHamid Esmaeeli","2024","http://link.springer.com/article/10.1007/s11227-024-06241-3","Article"
"CI-MM-Dombi operator based on interval type-2 spherical fuzzy set and its applications on sustainable supply chain with risk criteria: using CI-TODIM-MARCOS method","Soft Computing","","28","17 - 18","10.1007/s00500-024-09794-w","Binoy Krishna GiriSankar Kumar Roy","2024","http://link.springer.com/article/10.1007/s00500-024-09794-w","Article"
"A Comprehensive Investigation of Rural and Low-Rise Housing Design Quality: a Thematic and Bibliometric Analysis","Journal of Housing and the Built Environment","","39","3","10.1007/s10901-024-10122-9","Priya TyagiBhavna ShrivastavaNand Kumar","2024","http://link.springer.com/article/10.1007/s10901-024-10122-9","Article"
"Fuzzy cognitive network process for software reliability and quality measurement: comparisons with fuzzy analytic hierarchy process","Journal of Reliable Intelligent Environments","","10","3","10.1007/s40860-024-00230-2","Kevin Kam Fung Yuen","2024","http://link.springer.com/article/10.1007/s40860-024-00230-2","Article"
"A resilience assessment model for dry bulk shipping supply chains: the case of the Ukraine grain corridor","Maritime Economics & Logistics","","26","3","10.1057/s41278-023-00277-7","Serkan KarakasMehmet KirmiziHuseyin GencerKevin Cullinane","2024","http://link.springer.com/article/10.1057/s41278-023-00277-7","Article"
"Some interval-valued spherical fuzzy Frank Choquet integral operators in multicriteria decision making","Soft Computing","","28","17 - 18","10.1007/s00500-024-09854-1","Pankaj KakatiBijan Davvaz","2024","http://link.springer.com/article/10.1007/s00500-024-09854-1","Article"
"Development and implementation of digital pedagogical support systems in the context of educational equity","Humanities and Social Sciences Communications","","11","1","10.1057/s41599-024-03616-y","Shuo-fang LiuJuan LiHang-qin ZhangZhe LiMeng Cheng","2024","http://link.springer.com/article/10.1057/s41599-024-03616-y","Article"
"Elevating Pakistan’s flood preparedness: a fuzzy multi-criteria decision making approach","Financial Innovation","","10","1","10.1186/s40854-024-00659-7","Zeshan AlamYousaf AliDragan Pamucar","2024","http://link.springer.com/article/10.1186/s40854-024-00659-7","Article"
"Literature analysis of the location selection studies related to the waste facilities within MCDM approaches","Environmental Science and Pollution Research","","","","10.1007/s11356-024-34370-y","Ertugrul AyyildizMelike Erdogan","2024","http://link.springer.com/article/10.1007/s11356-024-34370-y","Article"
"How to exploit Augmented Reality (AR) technology in patient customized surgical tools: a focus on osteotomies","Multimedia Tools and Applications","","83","27","10.1007/s11042-023-18058-y","Luca UlrichFederico SalernoSandro MoosEnrico Vezzetti","2024","http://link.springer.com/article/10.1007/s11042-023-18058-y","Article"
"Selection of the optimal scheme for the conceptual design of a polisher considering multi-source uncertainties","Journal of Mechanical Science and Technology","","38","8","10.1007/s12206-024-0723-7","Zhenyu LiuZhinan LiGuodong SaHui LiuJianrong Tan","2024","http://link.springer.com/article/10.1007/s12206-024-0723-7","Article"
"Intelligent data-driven acquisition method for user requirements","Personal and Ubiquitous Computing","","28","3 - 4","10.1007/s00779-024-01804-w","Zhenwei YouJian LiuTingting YangJiagang CaoWei-Chen Chang","2024","http://link.springer.com/article/10.1007/s00779-024-01804-w","Article"
"Enhancing efficiency in PCB assembly for the leading global electronics manufacturing services firm: a TRIZ and Ant Colony Optimization approach","The International Journal of Advanced Manufacturing Technology","","133","11 - 12","10.1007/s00170-024-14025-5","Chia-Nan WangNhat-Luong NhieuTien-Anh Pham Viet","2024","http://link.springer.com/article/10.1007/s00170-024-14025-5","Article"
"An empirical investigation into UK university–industry collaboration: the development of an impact framework","The Journal of Technology Transfer","","49","4","10.1007/s10961-023-10043-9","David BamfordIain ReidPaul ForresterBenjamin DeheJim BamfordMarina Papalexi","2024","http://link.springer.com/article/10.1007/s10961-023-10043-9","Article"
"A risk assessment model with dependent failure modes for the manufacturing and design processes of medical equipment","International Journal on Interactive Design and Manufacturing (IJIDeM)","","18","6","10.1007/s12008-024-01919-7","Huai-Wei LoMuhammet GulMelih YucesanChing-Fang Liaw","2024","http://link.springer.com/article/10.1007/s12008-024-01919-7","Article"
"Measuring museum sustainability in China: a DSR model-driven approach to empower sustainable development goals (SDGs)","Humanities and Social Sciences Communications","","11","1","10.1057/s41599-024-03437-z","Siyi WangLiying YuYuan Rong","2024","http://link.springer.com/article/10.1057/s41599-024-03437-z","Article"
"Risk evaluation in failure mode and effect analysis: AHP-VIKOR method with picture fuzzy rough number","Granular Computing","","9","3","10.1007/s41066-024-00491-5","Mavera NawazArooj AdeelMuhammad Akram","2024","http://link.springer.com/article/10.1007/s41066-024-00491-5","Article"
"A hybrid approach for risk-informed decision-making in supply chain projects","Annals of Operations Research","","","","10.1007/s10479-024-06169-0","Xu ZhangSijun BaiAbroon QaziMark Goh","2024","http://link.springer.com/article/10.1007/s10479-024-06169-0","Article"
"Multi objective optimization and evaluation approach of prefabricated component combination solutions using NSGA-II and simulated annealing optimized projection pursuit method","Scientific Reports","","14","1","10.1038/s41598-024-65319-3","Qun WangXizhen XuXiaoxin DingTiebing ChenRonghui DengJinglei LiJiawei Jiang","2024","http://link.springer.com/article/10.1038/s41598-024-65319-3","Article"
"Construction and application of product optimisation design model driven by user requirements","Scientific Reports","","14","1","10.1038/s41598-024-67406-x","Zhigang HuDongyi JiaXianling QiaoNan Zhang","2024","http://link.springer.com/article/10.1038/s41598-024-67406-x","Article"
"Unveiling the cultural significance and development of “wajik”, a traditional Javanese food","Journal of Ethnic Foods","","11","1","10.1186/s42779-024-00237-3","Ata Aditya WardanaR. Haryo Bimo Setiarto","2024","http://link.springer.com/article/10.1186/s42779-024-00237-3","Article"
"Enabling reliable usability assessment and comparative analysis of medical software: a comprehensive framework for multimodal biomedical imaging platforms","Health and Technology","","14","4","10.1007/s12553-024-00859-2","Elena DenisovaEleonora TiribilliAlessio LuschiPiergiorgio FranciaLeonardo ManettiLeonardo BocchiErnesto Iadanza","2024","http://link.springer.com/article/10.1007/s12553-024-00859-2","Article"
"Extended ExpTODIM technique based on GRA for capability evaluation of real estate general contractors with hesitant triangular fuzzy information","Soft Computing","","28","13 - 14","10.1007/s00500-024-09646-7","Xiaobo LiaoHua Lei","2024","http://link.springer.com/article/10.1007/s00500-024-09646-7","Article"
"Correction to: Concept Design Evaluation of Sustainable Product–Service Systems: A QFD–TOPSIS Integrated Framework with Basic Uncertain Linguistic Information","Group Decision and Negotiation","","33","3","10.1007/s10726-024-09884-y","Qiang YangZhen-Song ChenJiang-Hong ZhuLuis MartínezWitold PedryczMirosław J. Skibniewski","2024","http://link.springer.com/article/10.1007/s10726-024-09884-y","Article"
"Concept Design Evaluation of Sustainable Product–Service Systems: A QFD–TOPSIS Integrated Framework with Basic Uncertain Linguistic Information","Group Decision and Negotiation","","33","3","10.1007/s10726-023-09870-w","Qiang YangZhen-Song ChenJiang-Hong ZhuLuis MartínezWitold PedryczMirosław J. Skibniewski","2024","http://link.springer.com/article/10.1007/s10726-023-09870-w","Article"
"Flexibility in Enhancing Supply Chain Resilience: Developing a Resilience Capability Portfolio in the Event of Severe Disruption","Global Journal of Flexible Systems Management","","25","2","10.1007/s40171-024-00391-2","Md Maruf Hossan ChowdhuryPriyabrata ChowdhuryMohammed QuaddusKazi Waziur RahmanSakib Shahriar","2024","http://link.springer.com/article/10.1007/s40171-024-00391-2","Article"
"Quality Function Deployment-Oriented Strategic Outlook to Sustainable Energy Policies Based on Quintuple Innovation Helix","Journal of the Knowledge Economy","","15","2","10.1007/s13132-023-01394-7","Elias CarayannisPantelis KostisHasan DinçerSerhat Yüksel","2024","http://link.springer.com/article/10.1007/s13132-023-01394-7","Article"
"Formulating a design model for product platform architecture adopting integrated design approach considering variety, cost, and accessibility criteria","Production Engineering","","18","3 - 4","10.1007/s11740-023-01224-4","Masoud MeratiMahdi KarbasianAbbas Toloie AshlaghiHassan Hale","2024","http://link.springer.com/article/10.1007/s11740-023-01224-4","Article"
"Spatial Variations in Element Concentrations in Saudi Arabian Red Sea Mangrove and Seagrass Ecosystems: A Comparative Analysis for Bioindicator Selection","Earth Systems and Environment","","8","2","10.1007/s41748-024-00390-4","Chunzhi CaiAndrea AntonCarlos M. DuarteSusana Agusti","2024","http://link.springer.com/article/10.1007/s41748-024-00390-4","Article"
"Measuring power consumption efficiency of an electromechanical system within a long-term period by fuzzy DEA and TOPSIS for sustainability","Soft Computing","","28","11 - 12","10.1007/s00500-023-09581-z","Yu-Jie Wang","2024","http://link.springer.com/article/10.1007/s00500-023-09581-z","Article"
"Recent development and applications of neutrosophic fuzzy optimization approach","International Journal of System Assurance Engineering and Management","","15","6","10.1007/s13198-023-02243-1","Debasmita SarkarPankaj Kumar Srivastava","2024","http://link.springer.com/article/10.1007/s13198-023-02243-1","Article"
"Selection of optimal strategy for managing decentralized solar PV systems considering uncertain weather conditions","Scientific Reports","","14","1","10.1038/s41598-024-62891-6","Assia ChadlyHamed Yahya AldayyaniMohammad M. HamashaSa’ed AmerMaher MaaloufAhmad Mayyas","2024","http://link.springer.com/article/10.1038/s41598-024-62891-6","Article"
"Prioritizing Barriers to Resilience in Blood Supply Chains: An Integrated Multi-Criteria Decision-Making Approach","Operations Research Forum","","5","2","10.1007/s43069-024-00321-z","Ali SibeveiPardis Roozkhosh","2024","http://link.springer.com/article/10.1007/s43069-024-00321-z","Article"
"Fermatean fuzzy sets and its extensions: a systematic literature review","Artificial Intelligence Review","","57","6","10.1007/s10462-024-10761-y","Gülçin BüyüközkanDeniz UztürkÖykü Ilıcak","2024","http://link.springer.com/article/10.1007/s10462-024-10761-y","Article"
"Improving supply chain transparency: from the perspective of suppliers","Annals of Operations Research","","","","10.1007/s10479-024-06009-1","LiGuo YangLin Lu","2024","http://link.springer.com/article/10.1007/s10479-024-06009-1","Article"
"Boxless bus bar system for distribution boxes: a novel design for efficiency, security, and reliability","International Journal on Interactive Design and Manufacturing (IJIDeM)","","","","10.1007/s12008-024-01847-6","Ishant Jain","2024","http://link.springer.com/article/10.1007/s12008-024-01847-6","Article"
"Identifying and Prioritizing Effective Factors for Increasing Satisfaction of Mass Building Projects Using Integrated FAHP, FTOPSIS, and QFD Methods","Arabian Journal for Science and Engineering","","49","5","10.1007/s13369-023-08236-3","Nasser SafaieMohammad Hassan ZareieSeyed Amir NasriAmirhossein Sarabi","2024","http://link.springer.com/article/10.1007/s13369-023-08236-3","Article"
"A reasonable method for industrial robot selection combined with several multi-attribute decision making methods","International Journal on Interactive Design and Manufacturing (IJIDeM)","","18","4","10.1007/s12008-023-01533-z","Myong-Song ChoeWon-Chol Yang","2024","http://link.springer.com/article/10.1007/s12008-023-01533-z","Article"
"Review of sensor-driven assistive device technologies for enhancing navigation for the visually impaired","Multimedia Tools and Applications","","83","17","10.1007/s11042-023-17552-7","Iftekar PatelMakarand KulkarniNinad Mehendale","2024","http://link.springer.com/article/10.1007/s11042-023-17552-7","Article"
"Achieving eco-innovative smart glass design with the integration of opinion mining, QFD and TRIZ","Scientific Reports","","14","1","10.1038/s41598-024-58867-1","C. K. M. LeeY. P. TsangW. W. ChongY. S. AuJ. Y. Liang","2024","http://link.springer.com/article/10.1038/s41598-024-58867-1","Article"
"Multi-criteria group decision-making for evaluating efficient and smart mobility sharing systems using Pythagorean fuzzy rough numbers","Granular Computing","","9","2","10.1007/s41066-024-00466-6","Muhammad AkramSadaf ZahidAhmad N. Al-Kenani","2024","http://link.springer.com/article/10.1007/s41066-024-00466-6","Article"
"Measuring Supply Chain Performance Using the SCOR Model","Operations Research Forum","","5","2","10.1007/s43069-024-00314-y","Thi Thuy Hanh Nguyen","2024","http://link.springer.com/article/10.1007/s43069-024-00314-y","Article"
"A three-way decision method on multi-scale single-valued neutrosophic decision systems","Artificial Intelligence Review","","57","4","10.1007/s10462-024-10733-2","Xuan YangXianzhong ZhouBing HuangHuaxiong LiTianxing Wang","2024","http://link.springer.com/article/10.1007/s10462-024-10733-2","Article"
"An improved normal wiggly hesitant fuzzy FMEA model and its application to risk assessment of electric bus systems","Applied Intelligence","","54","8","10.1007/s10489-024-05458-2","Pei ZhangZhenji ZhangDaqing Gong","2024","http://link.springer.com/article/10.1007/s10489-024-05458-2","Article"
"Optimal selection and investment-allocation decisions for sustainable supplier development practices","Annals of Operations Research","","335","1","10.1007/s10479-023-05367-6","Chunguang BaiKannan GovindanDileep Dhavale","2024","http://link.springer.com/article/10.1007/s10479-023-05367-6","Article"
"An extension of the best–worst method based on the spherical fuzzy sets for multi-criteria decision-making","Granular Computing","","9","2","10.1007/s41066-024-00462-w","Gholamreza HaseliReza SheikhSaeid Jafarzadeh GhoushchiMostafa Hajiaghaei-KeshteliSarbast MoslemMuhammet DeveciSeifedine Kadry","2024","http://link.springer.com/article/10.1007/s41066-024-00462-w","Article"
"A review on solar water heating technology: Impacts of parameters and techno-economic studies","Bulletin of the National Research Centre","","48","1","10.1186/s42269-024-01187-1","Fabian EzeMunonyedi EgboUdochukwu John AnutaOssei-Bremang Rejoice NtiriwaaJulius OgolaJulius Mwabora","2024","http://link.springer.com/article/10.1186/s42269-024-01187-1","Article"
"Correction: Designing temperature-controlled medicine bag using an integrated AHP-QFD methodology","International Journal on Interactive Design and Manufacturing (IJIDeM)","","18","2","10.1007/s12008-023-01519-x","Dollaya BuakumChukree DaesaRunchana SinthavalaiKrittamet Noppasri","2024","http://link.springer.com/article/10.1007/s12008-023-01519-x","Article"
"Designing temperature-controlled medicine bag using an integrated AHP-QFD methodology","International Journal on Interactive Design and Manufacturing (IJIDeM)","","18","2","10.1007/s12008-023-01457-8","Dollaya BuakumChukree DaesaRunchana SinthavalaiKrittamet Noppasri","2024","http://link.springer.com/article/10.1007/s12008-023-01457-8","Article"
"An integrated decision framework for evaluating and recommending health care services","Applied Intelligence","","54","5","10.1007/s10489-024-05396-z","Bashar AlshouhaJesus Serrano-GuerreroFrancisco ChiclanaFrancisco P. RomeroJose A. Olivas","2024","http://link.springer.com/article/10.1007/s10489-024-05396-z","Article"
"Barriers and Strategies for Digitalisation of Economy in Developing Countries: Pakistan, a Case in Point","Journal of the Knowledge Economy","","15","1","10.1007/s13132-023-01158-3","Mahrose NadeemYousaf AliObaid ur RehmanLauri Tapani Saarinen","2024","http://link.springer.com/article/10.1007/s13132-023-01158-3","Article"
"Cascade Roadmaps as a Tool for Technology Strategy Formulation: the Case of Iran Oil Industry","Journal of the Knowledge Economy","","15","1","10.1007/s13132-023-01221-z","Sepehr GhazinooryMaryam NozariFatemeh Hoshdar","2024","http://link.springer.com/article/10.1007/s13132-023-01221-z","Article"
"A Hybrid Approach to Sustainable Supplier Selection and Order Allocation Considering Quality Policies and Demand Forecasting: A Real-Life Case Study","Process Integration and Optimization for Sustainability","","8","1","10.1007/s41660-023-00350-x","MohammadHossein Jafari-RaddaniHossein Choopani AsgarabadAmir AghsamiFariborz Jolai","2024","http://link.springer.com/article/10.1007/s41660-023-00350-x","Article"
"A novel multicriteria decision-making process for selecting spot welding robot with removal effects of criteria techniques","International Journal on Interactive Design and Manufacturing (IJIDeM)","","18","2","10.1007/s12008-023-01650-9","Huy-Anh BuiXuan-Thuan Nguyen","2024","http://link.springer.com/article/10.1007/s12008-023-01650-9","Article"
"Performance improvement for catheter ablation assembly using an effect-solving method","Journal of the Brazilian Society of Mechanical Sciences and Engineering","","46","3","10.1007/s40430-024-04702-7","Weiliang HsuIntan MardionoImang Eko SaputroYiin-Kuen Fuh","2024","http://link.springer.com/article/10.1007/s40430-024-04702-7","Article"
"Agile method for product development based on C-K theory and feature-driven development","Journal of the Brazilian Society of Mechanical Sciences and Engineering","","46","3","10.1007/s40430-024-04706-3","Giliarde Pacheco BarniCarlos Maurício SacchelliRégis Kovacs Scalice","2024","http://link.springer.com/article/10.1007/s40430-024-04706-3","Article"
"A framework for lean tool selection in the label printing industry for sustainable growth","International Journal of System Assurance Engineering and Management","","","","10.1007/s13198-024-02257-3","Rubina MittalHuda Shameem","2024","http://link.springer.com/article/10.1007/s13198-024-02257-3","Article"
