Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Limit theorems for the motion of a Poisson system of independent Markovian particles with high density","Zeitschrift für Wahrscheinlichkeitstheorie und Verwandte Gebiete","","34","3","10.1007/BF00532704","Anders Martin-Löf","1976","http://link.springer.com/article/10.1007/BF00532704","Article"
"Aspects of high energy physics","Nature","","272","5649","10.1038/272191b0","C. H. Lewellyn Smith","1978","http://link.springer.com/article/10.1038/272191b0","Article"
"Fungi and the life of man","Nature","","272","5649","10.1038/272191a0","M. J. Carlile","1978","http://link.springer.com/article/10.1038/272191a0","Article"
"Physics and technology of lightning","Nature","","272","5649","10.1038/272192a0","A. J. Illingworth","1978","http://link.springer.com/article/10.1038/272192a0","Article"
"Q-banding methods using quinacrine (QFQ) and hoechst 33258 (QFH) for chromosome analysis of human lymphocyte cultures","TCA manual / Tissue Culture Association","","4","4","10.1007/BF00918878","C. C. LinBrian BiedermanHeidi Jamro","1978","http://link.springer.com/article/10.1007/BF00918878","Article"
"An introduction to supergravity","General Relativity and Gravitation","","10","3","10.1007/BF00759856","P. Van Nieuwenhuizen","1979","http://link.springer.com/article/10.1007/BF00759856","Article"
"Unified field theory: dream becoming reality?","Nature","","278","5701","10.1038/278209a0","F. E. Close","1979","http://link.springer.com/article/10.1038/278209a0","Article"
"Quantum chromodynamics","Nature","","279","5713","10.1038/279479a0","William MarcianoHeinz Pagels","1979","http://link.springer.com/article/10.1038/279479a0","Article"
"Perturbation theory in covariant gauges for two-dimensional quantum electrodynamics. Some new aspects of confinement","Il Nuovo Cimento A (1965-1970)","","59","2","10.1007/BF02902331","E. D'EmilioM. Mintchev","1980","http://link.springer.com/article/10.1007/BF02902331","Article"
"The effect of a seasonal change in canopy structure on the photosynthetic efficiency of a salt marsh","Oecologia","","48","1","10.1007/BF00346991","S. N. TuritzinB. G. Drake","1981","http://link.springer.com/article/10.1007/BF00346991","Article"
"The role of frequency-dependent selection in the outcome of experimental populations in evolution","Genetica","","55","1","10.1007/BF00133995","D. AnxolabéhèreG. Périquet","1981","http://link.springer.com/article/10.1007/BF00133995","Article"
"On additive representations of integers. II","Acta Mathematica Academiae Scientiarum Hungarica","","38","1 - 4","10.1007/BF01917531","A. Sárközy","1981","http://link.springer.com/article/10.1007/BF01917531","Article"
"Establishment of a human T-cell hybrid line with suppressive activity","Nature","","292","5826","10.1038/292844a0","Catherine Grillot-CourvalinJean-Claude BrouetRoland BergerAlain Bernheim","1981","http://link.springer.com/article/10.1038/292844a0","Article"
"Switch region of immunoglobulin Cμ gene is composed of simple tandem repetitive sequences","Nature","","292","5826","10.1038/292845a0","Toshio NikaidoSumiko NakaiTasuku Honjo","1981","http://link.springer.com/article/10.1038/292845a0","Article"
"Immune (γ) interferon produced by a human T-lymphoblast cell line","Nature","","292","5826","10.1038/292842a0","Ilana NathanJerome E. GroopmanShirley G. QuanNoelle BerschDavid W. Golde","1981","http://link.springer.com/article/10.1038/292842a0","Article"
"Propagation of a shock pulse train in dense media","Journal of Applied Mechanics and Technical Physics","","23","3","10.1007/BF00910092","é. I. AndriankinA. I. MalkinN. N. Myagkov","1982","http://link.springer.com/article/10.1007/BF00910092","Article"
"Algebraically compact field extensions","Archiv der Mathematik","","38","1","10.1007/BF01304773","John N. Mordeson","1982","http://link.springer.com/article/10.1007/BF01304773","Article"
"Information model of the problem domain in decision-making systems","Cybernetics","","19","1","10.1007/BF01070109","A. I. DeshkoB. V. IgnatenkoV. I. Kostyuk","1983","http://link.springer.com/article/10.1007/BF01070109","Article"
"A theory of data dependencies over relational expressions","International Journal of Computer & Information Sciences","","12","3","10.1007/BF00995890","Marco A. Casanova","1983","http://link.springer.com/article/10.1007/BF00995890","Article"
"Polarization and high-energy lepton-nucleon scattering","La Rivista del Nuovo Cimento (1978-1999)","","6","6","10.1007/BF02740897","F. L. Navarria","1983","http://link.springer.com/article/10.1007/BF02740897","Article"
"The freeze fracture ultrastructure of peanut oil and other natural and synthetic triacylglycerol droplets","Journal of the American Oil Chemists’ Society","","60","7","10.1007/BF02702103","M. W. RiglerI. L. RothD. KritchevskyJ. S. Patton","1983","http://link.springer.com/article/10.1007/BF02702103","Article"
"An algebra of the information model of the object environment in decision-making systems","Cybernetics","","19","5","10.1007/BF01068761","A. I. DeshkoB. V. IgnatenkoV. I. Kostyuk","1983","http://link.springer.com/article/10.1007/BF01068761","Article"
"Possible dynamical mechanism generatingSU
3 andSU
2 symmetry breaking","Il Nuovo Cimento A (1965-1970)","","79","1","10.1007/BF02831079","N. PaverM. D. Scadron","1984","http://link.springer.com/article/10.1007/BF02831079","Article"
"Metoclopramide","Reactions","","93","1","10.1007/BF03273376","","1984","http://link.springer.com/article/10.1007/BF03273376","Article"
"Search for a density-based alternative quantum mechanics of many-electron systems","Proceedings of the Indian Academy of Sciences - Chemical Sciences","","93","6","10.1007/BF02840340","B. M. Deb","1984","http://link.springer.com/article/10.1007/BF02840340","Article"
"Strain selection and physiology in the development of Gracilaria mariculture","Hydrobiologia","","116 - 117","1","10.1007/BF00027644","Judith E. Hansen","1984","http://link.springer.com/article/10.1007/BF00027644","Article"
"On causal nonrelativistic classical electrodynamics","Lettere al Nuovo Cimento (1971-1985)","","41","1","10.1007/BF02748442","G. H. Goedecke","1984","http://link.springer.com/article/10.1007/BF02748442","Article"
"On the quantum fluid dynamics of dissipative systems","Lettere al Nuovo Cimento (1971-1985)","","41","14","10.1007/BF02748387","A. B. Nassar","1984","http://link.springer.com/article/10.1007/BF02748387","Article"
"Bisimple inverse semigroups whose idempotents are an interval","Semigroup Forum","","30","1","10.1007/BF02573441","Semih Koray","1984","http://link.springer.com/article/10.1007/BF02573441","Article"
"Freeze-fracture study of ordered arrays of particles in the plasma membrane ofChlamydobotrys stellata Korsch. (Volvocales)","Protoplasma","","126","1 - 2","10.1007/BF01287677","Yvonne HenryMonique PouphileT. Gulik-KrzywickiW. WiessnerM. Lefort-Tran","1985","http://link.springer.com/article/10.1007/BF01287677","Article"
"CO2 gas exchange of the understory plantAsarum europaeum L. in November","International Journal of Biometeorology","","29","1","10.1007/BF02189007","D. Overdieck","1985","http://link.springer.com/article/10.1007/BF02189007","Article"
"Plasma-membrane rosettes in root hairs of Equisetum hyemale","Planta","","163","3","10.1007/BF00395143","Anne Mie C. Emons","1985","http://link.springer.com/article/10.1007/BF00395143","Article"
"Fusion images and intramembrane particle aggregates during the action of antidiuretic hormone","Cell and Tissue Research","","240","2","10.1007/BF00222356","Richard M. HaysJacques ChevalierRenée GobinJacques Bourguet","1985","http://link.springer.com/article/10.1007/BF00222356","Article"
"Adducts of methyl β,β-bis(trifluoromethyl)acrylate with nucleophiles and allylic rearrangement during their dehydrofluorination","Chemistry of Heterocyclic Compounds","","21","10","10.1007/BF00515249","I. V. SolodinA. V. EremeevI. I. ChervinR. G. Kostyanovskii","1985","http://link.springer.com/article/10.1007/BF00515249","Article"
"Exocytosis in non-plasmolyzed and plasmolyzed tobacco pollen tubes","Planta","","166","3","10.1007/BF00401164","M. KrohB. Knuiman","1985","http://link.springer.com/article/10.1007/BF00401164","Article"
"A system for measuring leaf gas exchange based on regulating vapour pressure difference","Photosynthesis Research","","9","3","10.1007/BF00029799","Waichi AgataYoshinobu KawamitsuSusumu HakoyamaYasuo Shima","1986","http://link.springer.com/article/10.1007/BF00029799","Article"
"Surfaces of small degree","Mathematische Annalen","","275","1","10.1007/BF01458584","Miles Reid","1986","http://link.springer.com/article/10.1007/BF01458584","Article"
"Effective dynamical model for the kaon decay ΔI=1/2 rule","Il Nuovo Cimento A (1965-1970)","","93","3","10.1007/BF02773650","N. H. FuchsM. D. Scadron","1986","http://link.springer.com/article/10.1007/BF02773650","Article"
"Comparative analysis of the operation of filtration fish protective devices","Hydrotechnical Construction","","20","6","10.1007/BF01424365","V. V. Petrashkevich","1986","http://link.springer.com/article/10.1007/BF01424365","Article"
"Long- and short-distance contributions to the KL-KS mass difference","Il Nuovo Cimento A (1965-1970)","","97","6","10.1007/BF02734963","M. D. Scadron","1987","http://link.springer.com/article/10.1007/BF02734963","Article"
"How can density functional theory be excited from the ground state?","Journal of Chemical Sciences","","99","1 - 2","10.1007/BF02935776","B M DebP K Chattaraj","1987","http://link.springer.com/article/10.1007/BF02935776","Article"
"Early structural changes in the axoplasmic cytoskeleton after axotomy studied by cryofixation","Cell and Tissue Research","","250","3","10.1007/BF00218961","Prof. Dr. Karl Meller","1987","http://link.springer.com/article/10.1007/BF00218961","Article"
"Nonresonant Third-Order Nonlinear Polarizability in Linear Conjugated Molecules","MRS Online Proceedings Library","","109","1","10.1557/PROC-109-103","S. H. StevensonD. S. DonaldG. R. Meredith","1987","http://link.springer.com/article/10.1557/PROC-109-103","Article"
"Hot formability of ferritic steels","Czechoslovak Journal of Physics B","","38","1","10.1007/BF01596521","J. Elfmark","1988","http://link.springer.com/article/10.1007/BF01596521","Article"
"Selection of operating conditions for pyrolysis furnaces in ethylene production","Chemistry and Technology of Fuels and Oils","","24","5","10.1007/BF00727832","I. A. KozlovI. L. Nashatyrev","1988","http://link.springer.com/article/10.1007/BF00727832","Article"
"From two mesons and (V-A) weak currents to the standard model of quark and lepton interactions","Pramana","","31","1","10.1007/BF02846953","R E Marshak","1988","http://link.springer.com/article/10.1007/BF02846953","Article"
"Rheological and electron microscopic characterization of aqueous carboxymethyl cellulose gels Part II: Visualization of the gel structure by freeze-fracturing","Colloid and Polymer Science","","267","3","10.1007/BF01410580","T. MüllerH. HakertTh. Eckert","1989","http://link.springer.com/article/10.1007/BF01410580","Article"
"Chromatolysis of dorsal root ganglion cells studied by cryofixation","Cell and Tissue Research","","256","2","10.1007/BF00218885","Prof. Dr. Karl Meller","1989","http://link.springer.com/article/10.1007/BF00218885","Article"
"Zinc inhibition of glucose uptake in brush border membrane vesicles from pig small intestine","Pflügers Archiv","","415","2","10.1007/BF00370588","D. W. WatkinsC. ChenuP. Ripoche","1989","http://link.springer.com/article/10.1007/BF00370588","Article"
"Explicit form and convergence of 1-differential formal deformations of the poisson Lie algebra","Letters in Mathematical Physics","","18","4","10.1007/BF00405259","P. B. A. LecomteD. MelotteC. Roger","1989","http://link.springer.com/article/10.1007/BF00405259","Article"
"A measurement of the charmed quark asymmetry ine
+
e
− annihilation","Zeitschrift für Physik C Particles and Fields","","44","4","10.1007/BF01549079","F. Ould-SaadaJ. AllisonK. AmbrusR. J. BarlowW. BartelS. BethkeC. K. BowderyS. L. CartwrightJ. ChrinD. ClarkeA. DieckmannI. P. DuerdothG. EckerlinE. ElsenR. FelstA. J. Finch","1989","http://link.springer.com/article/10.1007/BF01549079","Article"
"A determination of sin2θ
                w
               and the lepton and quark electroweak couplings frome
+
e
− data","Zeitschrift für Physik C Particles and Fields","","43","4","10.1007/BF01550939","R. Marshall","1989","http://link.springer.com/article/10.1007/BF01550939","Article"
"A determination of the strong coupling constant α
                S
               frome
+
e
− total cross-section data","Zeitschrift für Physik C Particles and Fields","","43","4","10.1007/BF01550938","R. Marshall","1989","http://link.springer.com/article/10.1007/BF01550938","Article"
"BCS superconductivity inf-d andp-d systems","Zeitschrift für Physik B Condensed Matter","","75","4","10.1007/BF01312525","A. A. AligiaO. L. T. de Menezes","1989","http://link.springer.com/article/10.1007/BF01312525","Article"
"Phase diagram of the system dihexadecylphosphatidylcholine/dihexadecyl-phosphatidic acid/water/NaOH at pH=14","Colloid and Polymer Science","","268","2","10.1007/BF01513199","H. -D. DörflerW. MeyerP. MietheM. Hentschel","1990","http://link.springer.com/article/10.1007/BF01513199","Article"
"Managing information for concurrent engineering: Challenges and barriers","Research in Engineering Design","","2","1","10.1007/BF02029820","Steven SalzbergMichael Watkins","1990","http://link.springer.com/article/10.1007/BF02029820","Article"
"Integrity of the dissociated adult cardiac myocyte: gap junction tearing and the mechanism of plasma membrane resealing","Journal of Muscle Research & Cell Motility","","11","2","10.1007/BF01766494","N. J. SeversA. M. SladeT. PowellV. W. TwistC. R. Green","1990","http://link.springer.com/article/10.1007/BF01766494","Article"
"Morphology and photosynthetic physiology of Grimmia antarctici from wet and dry habitats","Polar Biology","","10","5","10.1007/BF00237820","M. E. Wilson","1990","http://link.springer.com/article/10.1007/BF00237820","Article"
"Global flows with invariant (Gibbs) measures for Euler and Navier-Stokes two dimensional fluids","Communications in Mathematical Physics","","129","3","10.1007/BF02097100","Sergio AlbeverioAna-Bela Cruzeiro","1990","http://link.springer.com/article/10.1007/BF02097100","Article"
"Subduction of coset representations. An application to enumeration of chemical structures with achiral and chiral ligands","Journal of Mathematical Chemistry","","5","2","10.1007/BF01166424","Shinsaku Fujita","1990","http://link.springer.com/article/10.1007/BF01166424","Article"
"In-Process Quality Control for Manufacturing","Journal of the Operational Research Society","","41","8","10.1057/jors.1990.110","Will McNally","1990","http://link.springer.com/article/10.1057/jors.1990.110","Article"
"Total Quality Management","Journal of the Operational Research Society","","41","8","10.1057/jors.1990.109","Will McNally","1990","http://link.springer.com/article/10.1057/jors.1990.109","Article"
"Limitations on tests of quantum flavour dynamics from quark confinement","Acta Physica Hungarica","","68","1 - 2","10.1007/BF03054200","H. Pietschmann","1990","http://link.springer.com/article/10.1007/BF03054200","Article"
"Changes in the Properties of a Montmorillonite-Water System during the Adsorption and Desorption of Water: Hysteresis","Clays and Clay Minerals","","38","5","10.1346/CCMN.1990.0380504","M. H. FuZ. Z. ZhangP. F. Low","1990","http://link.springer.com/article/10.1346/CCMN.1990.0380504","Article"
"Cryo-electron microscopy of vitrified nerve myelin","Cell and Tissue Research","","262","1","10.1007/BF00327746","Karl Meller","1990","http://link.springer.com/article/10.1007/BF00327746","Article"
"Three-way quality partnerships: The secret to long-term survival in the metals industries","JOM","","42","11","10.1007/BF03220430","Paul G. CampbellRodney D. Zabreznik","1990","http://link.springer.com/article/10.1007/BF03220430","Article"
"Generic planning: Research results and applications","Knowledge, Technology and Policy","","3","4","10.1007/BF02736657","John N. Warfield","1990","http://link.springer.com/article/10.1007/BF02736657","Article"
"Singularities on the boundary of the hyperbolicity region","Journal of Soviet Mathematics","","52","4","10.1007/BF01095253","A. D. VainshteinB. Z. Shapiro","1990","http://link.springer.com/article/10.1007/BF01095253","Article"
"Homological representations of the Hecke algebra","Communications in Mathematical Physics","","135","1","10.1007/BF02097660","R. J. Lawrence","1990","http://link.springer.com/article/10.1007/BF02097660","Article"
"Investigation of residual impurity content in GaAs layers grown by VPE under very low pressure conditions","Journal of Electronic Materials","","20","1","10.1007/BF02651969","J. CamasselJ. P. LaurentiS. JuillaguetK. WolterM. DeschlerS. AmbrossK. Grüter","1991","http://link.springer.com/article/10.1007/BF02651969","Article"
"A knowledge system for integrated product design","Journal of Intelligent Manufacturing","","2","1","10.1007/BF01471333","Thomas P. KnightSteven H. Kim","1991","http://link.springer.com/article/10.1007/BF01471333","Article"
"Simulation and modeling in early concept design: An industrial perspective","Research in Engineering Design","","3","1","10.1007/BF01580064","Peter M. Will","1991","http://link.springer.com/article/10.1007/BF01580064","Article"
"Traveling composition waves on isothermal catalyst surfaces","Archive for Rational Mechanics and Analysis","","116","1","10.1007/BF00375602","Martin FeinbergDavid Terman","1991","http://link.springer.com/article/10.1007/BF00375602","Article"
"Design for manufacture and assembly: Case studies in its implementation","The International Journal of Advanced Manufacturing Technology","","6","2","10.1007/BF02601436","D. J. GerhardtW. R. HutchinsonD. K. Mistry","1991","http://link.springer.com/article/10.1007/BF02601436","Article"
"A formal method for subjective design evaluation with multiple attributes","Research in Engineering Design","","3","2","10.1007/BF01581343","Deborah L. Thurston","1991","http://link.springer.com/article/10.1007/BF01581343","Article"
"Trade-off strategies in engineering design","Research in Engineering Design","","3","2","10.1007/BF01581342","Kevin N. OttoErik K. Antonsson","1991","http://link.springer.com/article/10.1007/BF01581342","Article"
"Variational integrals on mappings of bounded variation and their lower semicontinuity","Archive for Rational Mechanics and Analysis","","115","3","10.1007/BF00380769","Patricio AvilesYoshikazu Giga","1991","http://link.springer.com/article/10.1007/BF00380769","Article"
"Correlation between subjective and objective measurements of steering column shake to determine design specifications for the steering column structure","Experimental Techniques","","15","6","10.1111/j.1747-1567.1991.tb01222.x","T. A. MouchG. J. Jarocki","1991","http://link.springer.com/article/10.1111/j.1747-1567.1991.tb01222.x","Article"
"TheM/GI/1 Bernoulli feedback queue with vacations","Queueing Systems","","9","4","10.1007/BF01159222","M. A. WortmanRalph L. DisneyPeter C. Kiessler","1991","http://link.springer.com/article/10.1007/BF01159222","Article"
"Cloning of a cDNA for rape chloroplast 3-isopropylmalate dehydrogenase by genetic complementation in yeast","Plant Molecular Biology","","18","3","10.1007/BF00040671","Mats EllerströmLars -Göran JosefssonLars RaskHans Ronne","1992","http://link.springer.com/article/10.1007/BF00040671","Article"
"Equations of hydrodynamics for porous media with a vold structure possessing fractal geometry","Journal of Engineering Physics and Thermophysics","","62","3","10.1007/BF00851758","A. V. Mal'shkov","1992","http://link.springer.com/article/10.1007/BF00851758","Article"
"Dispersion effects and heat and mass transfer in filtration flows in porous media with random inhomogeities","Journal of Engineering Physics and Thermophysics","","62","3","10.1007/BF00851757","Yu. A. BuevichV. A. Ustinov","1992","http://link.springer.com/article/10.1007/BF00851757","Article"
"Shared memory in design: A unifying theme for research and practice","Research in Engineering Design","","4","1","10.1007/BF02032390","Suresh KondaIra MonarchPhilip SargentEswaran Subrahmanian","1992","http://link.springer.com/article/10.1007/BF02032390","Article"
"Photon radiation in final state parton showering","Zeitschrift für Physik C Particles and Fields","","56","1","10.1007/BF01589719","Michael H. Seymour","1992","http://link.springer.com/article/10.1007/BF01589719","Article"
"Differential one-dimensional equation of flow in “star” type water distributor","Hydrotechnical Construction","","26","4","10.1007/BF01545325","N. E. Markova","1992","http://link.springer.com/article/10.1007/BF01545325","Article"
"Effectiveness of removing moisture from heat-insulated cavities of equipment by the method of evacuation","Chemical and Petroleum Engineering","","28","6","10.1007/BF01148984","B. A. IvanovIbragim Al'-AminE. V. Arkhipova","1992","http://link.springer.com/article/10.1007/BF01148984","Article"
"A semiorthogonal sum of monocomposition algebras with unity","Algebra and Logic","","31","4","10.1007/BF02259932","A. T. Gainov","1992","http://link.springer.com/article/10.1007/BF02259932","Article"
"Quantized fiber dynamics for extended elementary objects involving gravitation","Foundations of Physics","","22","8","10.1007/BF00733395","W. Drechsler","1992","http://link.springer.com/article/10.1007/BF00733395","Article"
"Development of an autonomous aerial vehicle: A case study","Applied Intelligence","","2","3","10.1007/BF00119552","Nelson C. BakerDouglas C. MackenzieStephen A. Ingalls","1992","http://link.springer.com/article/10.1007/BF00119552","Article"
"Announcements","Research in Engineering Design","","4","3","10.1007/BF01607947","","1992","http://link.springer.com/article/10.1007/BF01607947","Article"
"Statistical model for a deformable solid with a critical volume and some of its applications. Communication 3","Strength of Materials","","24","11","10.1007/BF00768164","L. A. Sosnovskii","1992","http://link.springer.com/article/10.1007/BF00768164","Article"
"Theory and Practice in the Prediction of New Materials","MRS Bulletin","","18","2","10.1557/S088376940004361X","K. M. Rabe","1993","http://link.springer.com/article/10.1557/S088376940004361X","Article"
"Book reviews","Research in Engineering Design","","5","1","10.1007/BF01608398","Bernd B. SchierbeekPieter W. M. van Wierst","1993","http://link.springer.com/article/10.1007/BF01608398","Article"
"Towards Total Quality Management in Higher Education at Aston University—a case study","Higher Education","","25","3","10.1007/BF01383859","Marlene Clayton","1993","http://link.springer.com/article/10.1007/BF01383859","Article"
"The introduction of Total Quality Management at Oregon State University","Higher Education","","25","3","10.1007/BF01383856","Edwin Coate","1993","http://link.springer.com/article/10.1007/BF01383856","Article"
"TheE
8 theory of multigenerational strong-electroweak interactions: The neutral vector boson masses and
                
                  
                
                

% MathType!MTEF!2!1!+-% feaafiart1ev1aaatuuDJXwAK1uy0Hwmaerbfv3ySLgzG0uy0Hgip5% wzamXvP5wqonvsaeHbfv3ySLgzaeXatLxBI9gBamXvP5wqSXMqHnxA% Jn0BKvguHDwzZbqehqvATv2CG4uz3bIuV1wyUbqehm0B1jxALjhiov% 2DaebbnrfifHhDYfgasaacH8qrps0lbbf9q8WrFfeuY-Hhbbf9v8qq% aqFr0xc9pk0xbba9q8WqFfea0-yr0RYxir-Jbba9q8aq0-yq-He9q8% qqQ8frFve9Fve9Ff0dmeaaciGacmaadaWabiqaeaqbaqaagaaakeaa% iiaacqWFZbWCcqWFPbqAcqWFUbGBdaahaaWcbeqaaiaaikdaaaqehe% KCPfgBaGWbaOGaa4hiaiabeI7aXnaaBaaaleaacqWF3bWDaeqaaaaa% !4F5C!


                

$$sin^2  \theta _w $$


              .","Il Nuovo Cimento A (1965-1970)","","106","4","10.1007/BF02782699","Suk Koo Yun","1993","http://link.springer.com/article/10.1007/BF02782699","Article"
"IPTES: A concurrent engineering approach for real-time software development","Real-Time Systems","","5","2 - 3","10.1007/BF01088585","P. PulliR. Elmstrøm","1993","http://link.springer.com/article/10.1007/BF01088585","Article"
"Stochastic approach to the modeling and optimization of thermal spray coating formation","Journal of Thermal Spray Technology","","2","2","10.1007/BF02652024","V. E. BelashchenkoYu. B. Chernyak","1993","http://link.springer.com/article/10.1007/BF02652024","Article"
"An interpretation of renormalization prescription ambiguities in path integral formulation","Zeitschrift für Physik C Particles and Fields","","59","3","10.1007/BF01498630","Satish D. JoglekarGaitri Saini","1993","http://link.springer.com/article/10.1007/BF01498630","Article"
"The asymptotics of constrained control in optimal singular parabolic problems","Ukrainian Mathematical Journal","","45","10","10.1007/BF01571085","V. E. Kapustyan","1993","http://link.springer.com/article/10.1007/BF01571085","Article"
"Photoreflectance Characterization of InGaAs/GaAs Superlattices Grown on [111]-Oriented Substrates","MRS Online Proceedings Library","","324","1","10.1557/PROC-324-217","R. G. RodriguesK. YangL. J. SchowalterJ. M. Borrego","1993","http://link.springer.com/article/10.1557/PROC-324-217","Article"
"Quasidistributed fiber-optic interferometric pickups","Measurement Techniques","","37","1","10.1007/BF01418903","Yu. N. Kul'chinO. B. VitrikO. V. KirichenkoYu. S. Petrov","1994","http://link.springer.com/article/10.1007/BF01418903","Article"
"Molecular and genetic characterization of the rhizopine catabolism (mocABRC) genes of Rhizobium meliloti L5-30","Molecular and General Genetics MGG","","245","1","10.1007/BF00279746","Silvia RossbachDeanna A. KulpaUwe RossbachFrans J. de Bruijn","1994","http://link.springer.com/article/10.1007/BF00279746","Article"
"A form verification system for the conceptual design of complex mechanical systems","Engineering with Computers","","10","1","10.1007/BF01206538","Professor Jonathan S. ColtonMark P. Ouellette","1994","http://link.springer.com/article/10.1007/BF01206538","Article"
"Stretching the paradigm for software reliability assurance","Software Quality Journal","","3","1","10.1007/BF00426945","W. W. EverettM. Tortorella","1994","http://link.springer.com/article/10.1007/BF00426945","Article"
"The evolutionary origin of the 35 kb circular DNA of Plasmodium falciparum: new evidence supports a possible rhodophyte ancestry","Molecular and General Genetics MGG","","243","2","10.1007/BF00280323","Donald H. WilliamsonMalcolm J. GardnerPeter PreiserDaphne J. MooreKaveri RangachariRobert J. M. Wilson","1994","http://link.springer.com/article/10.1007/BF00280323","Article"
"Product development benchmarking versus customer focus in applications of quality function deployment","Marketing Letters","","5","2","10.1007/BF00994101","John E. EttlieMichael D. Johnson","1994","http://link.springer.com/article/10.1007/BF00994101","Article"
"A dynamical study of the principle of maximum hardness","Proceedings of the Indian Academy of Sciences - Chemical Sciences","","106","2","10.1007/BF02840746","P. K. ChattarajS. Nath","1994","http://link.springer.com/article/10.1007/BF02840746","Article"
"Routine design with information content and fuzzy quality function deployment","Journal of Intelligent Manufacturing","","5","4","10.1007/BF00123693","Ali Bahrami","1994","http://link.springer.com/article/10.1007/BF00123693","Article"
"Mid-season gas exchange of an alpine grassland under elevated CO2","Oecologia","","98","3 - 4","10.1007/BF00324233","Matthias W. Diemer","1994","http://link.springer.com/article/10.1007/BF00324233","Article"
"Residues in chaperonin GroEL required for polypeptide binding and release","Nature","","371","6498","10.1038/371614a0","Wayne A. FentonYechezkel KashiKrystyna FurtakArthur L. Norwich","1994","http://link.springer.com/article/10.1038/371614a0","Article"
"Foliar symptoms, ethylene biosynthesis and water use of young Norway spruce (Picea abies (L.) Karst.) exposed to drought and ozone","Water, Air, and Soil Pollution","","78","1 - 2","10.1007/BF00475674","R. Van Den DriesscheC. Langebartels","1994","http://link.springer.com/article/10.1007/BF00475674","Article"
